paper id,last_name,first_name,full_name,gd_gender,gg_gender,genderize_gender,ns_gender,genderize_probability,ns_probability
704.0254,Eboli,Oscar,Oscar Eboli,male,male,male,male,0.99,0.9968434645121056
704.0255,Marin,Felipe,Felipe Marin,male,male,male,male,0.98,0.9866581143708556
704.0255,Frieman,Joshua,Joshua Frieman,male,male,male,male,0.99,0.9913710238198222
704.0255,Nichol,Robert,Robert Nichol,male,male,male,male,0.99,0.9957943001565076
704.0258,Guerra,Diego,Diego Guerra,male,male,male,male,0.99,0.9956300998157296
704.0258,Mendez-Galain,Ramon,Ramon Mendez-Galain,male,male,male,male,0.98,0.9907414425937144
704.0258,Wschebor,Nicolas,Nicolas Wschebor,male,male,male,male,0.99,0.994970699467891
704.0253,Harvey,Paul M.,Paul M. Harvey,male,male,male,male,0.99,0.991428700807122
704.0253,Brooke,Tim,Tim Brooke,male,male,male,male,0.99,0.878530627906807
704.0253,Spiesman,William J.,William J. Spiesman,male,male,male,male,0.99,0.9940824165039832
704.0253,Cieza,Lucas,Lucas Cieza,male,male,male,male,0.98,0.979067230675306
704.0253,Lai,Shih-Ping,Shih-Ping Lai,unknown,unknown,male,male,1.0,0.5139990286626012
704.0253,van Dishoeck,Ewine F.,Ewine F. van Dishoeck,unknown,unknown,female,male,1.0,0.9916317238708684
704.0253,Blake,Geoffrey A.,Geoffrey A. Blake,male,male,male,male,0.99,0.9952899342775722
704.0253,Koerner,David W.,David W. Koerner,male,male,male,male,0.99,0.9968950197030874
704.0259,Kenyon,Scott J.,Scott J. Kenyon,male,male,male,male,0.99,0.9554649802695931
704.0259,Bromley,Benjamin C.,Benjamin C. Bromley,male,male,male,male,0.99,0.98587179854435
704.0259,O'Brien,David P.,David P. O'Brien,male,male,male,male,0.99,0.996454658549434
704.0259,Davis,Donald R.,Donald R. Davis,male,male,male,male,0.98,0.9957855288389168
704.0262,Bertolini,Matteo,Matteo Bertolini,male,male,male,male,0.99,0.9925825612311736
704.0262,Petersson,Christoffer,Christoffer Petersson,male,male,male,male,1.0,0.989474032282648
704.0263,Eyink,Gregory L.,Gregory L. Eyink,male,male,male,male,0.99,0.9505627821070392
704.0261,Randall,Scott W.,Scott W. Randall,male,male,male,male,0.99,0.9950961146092416
704.0261,Markevitch,Maxim,Maxim Markevitch,male,male,male,male,0.97,0.9897646626699252
704.0261,Clowe,Douglas,Douglas Clowe,male,male,male,male,0.99,0.9957360165289646
704.0261,Gonzalez,Anthony H.,Anthony H. Gonzalez,male,male,male,male,0.99,0.9883478213327348
704.0264,Dai,Jian,Jian Dai,unknown,unknown,male,male,0.9,0.8745728227403506
704.0266,Hoffman,Jennifer L.,Jennifer L. Hoffman,female,female,female,female,0.98,0.7006440030112301
704.0268,Whitney,Mark,Mark Whitney,male,male,male,male,0.99,0.9879652513112924
704.0268,Isailovic,Nemanja,Nemanja Isailovic,male,male,male,male,1.0,0.9860989790196132
704.0272,Wiklind,Tommy,Tommy Wiklind,unknown,male,male,male,0.98,0.986041245042195
704.0272,Allen,Ronald J.,Ronald J. Allen,male,male,male,male,0.99,0.9967692990012148
704.0272,Loinard,Laurent,Laurent Loinard,male,male,male,male,0.99,0.9694174509117328
704.0273,Reshetikhin,Nicolai,Nicolai Reshetikhin,male,male,male,male,0.98,0.986468764284793
704.0274,von Hippel,Georg M.,Georg M. von Hippel,unknown,male,male,male,0.99,0.9957990182217076
704.0275,Bergman,George M.,George M. Bergman,male,male,male,male,0.98,0.995515948147455
704.0277,Kalai,Gil,Gil Kalai,male,male,male,male,0.92,0.960451724488089
704.0277,Meshulam,Roy,Roy Meshulam,male,male,male,male,0.98,0.9809171908700172
704.0278,Khavkine,Igor,Igor Khavkine,male,male,male,male,0.99,0.9968589530389416
704.0281,Richard,Denis,Denis Richard,unknown,male,male,male,0.96,0.9576216044626176
704.0282,Bandi,Samuele,Samuele Bandi,male,male,male,male,0.99,0.5198828048632073
704.0285,Berger,Claire,Claire Berger,unknown,female,female,female,0.97,0.9564814567906076
704.0285,Wu,Xiaosong,Xiaosong Wu,unknown,unknown,male,male,0.83,0.6263323741413139
