paper id,last_name,first_name,full_name,gender,confidence,gd_gender,gg_gender,genderize_gender,ns_gender,genderize_probability,ns_probability
704.1688,Ray,Sugata,Sugata Ray,female,0.4342729857330493,unknown,female,male,female,0.88,0.9870919429321972
704.169,Zhao,Wenhua,Wenhua Zhao,neutral,0.13555589687675093,unknown,unknown,male,female,0.57,0.5144471750140075
704.1692,Zhang,Zhongzhi,Zhongzhi Zhang,male,0.25,unknown,unknown,male,male,1.0,0.994868851125718
704.1692,Zhou,Shuigeng,Shuigeng Zhou,neutral,0.1878606578114889,unknown,unknown,male,female,1.0,0.5028852624919111
704.1693,Cha,Dongwoo,Dongwoo Cha,male,0.6770354977736723,unknown,male,male,male,0.99,0.9681419910946892
704.1696,Fort,Jean-Claude,Jean-Claude Fort,male,0.6765230318374453,unknown,male,male,male,0.99,0.9660921273497816
704.1695,Repko,Wayne W.,Wayne W. Repko,male,1.0,male,male,male,male,0.98,0.9858650304370568
704.1695,Tinsley,Todd M.,Todd M. Tinsley,male,1.0,male,male,male,male,0.99,0.996878451007122
704.1694,Kedlaya,Kiran S.,Kiran S. Kedlaya,female,0.32321350858953973,unknown,female,male,female,0.68,0.5428540343581589
704.1699,Hirano,Tetsufumi,Tetsufumi Hirano,male,0.25,unknown,unknown,male,male,1.0,0.7102948595360508
704.1707,Buisman,Linda,Linda Buisman,female,1.0,female,female,female,female,0.98,0.9902990528134198
704.1712,Sugita,Ayumu,Ayumu Sugita,male,0.5949271054028514,male,female,male,male,0.9,0.6097084216114058
704.1717,Roehrle,Gerhard,Gerhard Roehrle,male,1.0,male,male,male,male,0.99,0.996772667664262
704.1721,Bando,Masako,Masako Bando,female,1.0,female,female,female,female,0.97,0.6408707133858836
